Position,Track Name,Artist,Streams,date,region,spotify_id
1,Someone You Loved,Lewis Capaldi,3338234,2019-03-01--2019-03-08,gb,2TIlqbIneP0ZY1O0EzYLlc
2,"break up with your girlfriend, i'm bored",Ariana Grande,3041558,2019-03-01--2019-03-08,gb,4kV4N9D1iKVxx1KLvtTpjS
3,Giant (with Rag'n'Bone Man),Calvin Harris,2846784,2019-03-01--2019-03-08,gb,5itOtNx0WxtJmi1TQ3RuRd
4,7 rings,Ariana Grande,2836252,2019-03-01--2019-03-08,gb,6ocbgoVGwYJhOv1GgI9NsF
5,Don't Call Me Up,Mabel,2783485,2019-03-01--2019-03-08,gb,5WHTFyqSii0lmT9R21abT8
6,Wow.,Post Malone,2488501,2019-03-01--2019-03-08,gb,6MWtB6iiXyIwun0YzU6DFP
7,Sucker,Jonas Brothers,2190914,2019-03-01--2019-03-08,gb,4y3OI86AEP6PQoDE6olYhO
8,Dancing With A Stranger (with Normani),Sam Smith,2041358,2019-03-01--2019-03-08,gb,6Qs4SXO9dwPj5GKvVOv8Ki
9,Shallow,Lady Gaga,1984056,2019-03-01--2019-03-08,gb,2VxeLyX666F8uXCJ0dZF8B
10,Options,NSG,1933493,2019-03-01--2019-03-08,gb,2cytBOLpwFRX7J9URCrFIe
11,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1736970,2019-03-01--2019-03-08,gb,7dbka99KTWke5o9hRp0JoB
12,bury a friend,Billie Eilish,1674393,2019-03-01--2019-03-08,gb,4NzMOnvSJVNKF7nw5NkXIP
13,Sweet but Psycho,Ava Max,1645555,2019-03-01--2019-03-08,gb,25sgk305KZfyuqVBQIahim
14,Just You and I,Tom Walker,1587183,2019-03-01--2019-03-08,gb,03x2rVJRFUrvwlfxoHd9Mo
15,i'm so tired...,Lauv,1556408,2019-03-01--2019-03-08,gb,7COXchtUOMd6uIT6HvmRaI
16,"thank u, next",Ariana Grande,1470504,2019-03-01--2019-03-08,gb,3e9HZxeyfWwjeyPAMmWSSQ
17,Murder On My Mind,YNW Melly,1423048,2019-03-01--2019-03-08,gb,7eBqSVxrzQZtK2mmgRG6lC
18,Talk,Khalid,1292816,2019-03-01--2019-03-08,gb,0rTV5WefWd1J3OwIheTzxM
19,Going Bad (feat. Drake),Meek Mill,1269806,2019-03-01--2019-03-08,gb,2IRZnDFmlqMuOrYOLnZZyc
20,MIDDLE CHILD,J. Cole,1267192,2019-03-01--2019-03-08,gb,2JvzF1RMd7lE3KmFlsyZD8
21,Happier,Marshmello,1204542,2019-03-01--2019-03-08,gb,2dpaYNEQHiRxtZbfNsse99
22,Advice,Cadet,1130727,2019-03-01--2019-03-08,gb,1fp2uoWXPca3mIdxRHIgQm
23,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1115733,2019-03-01--2019-03-08,gb,27rdGxbavYJeBphck5MZAF
24,Please Me,Cardi B,1089779,2019-03-01--2019-03-08,gb,0PG9fbaaHFHfre2gUVo7AN
25,"How It Is (feat. Roddy Ricch, Chip & Yxng Bane)",The Plug,1082759,2019-03-01--2019-03-08,gb,1ogmtYEsS4ywfLIhMee5bu
26,Shotgun,George Ezra,1067758,2019-03-01--2019-03-08,gb,4ofwffwvvnbSkrMSCKQDaC
27,Thotiana,Blueface,1051980,2019-03-01--2019-03-08,gb,3oh6SCCeLuXhFpEyepla6G
28,Nights Like This (feat. Ty Dolla $ign),Kehlani,1036725,2019-03-01--2019-03-08,gb,6ZRuF2n1CQxyxxAAWsKJOy
29,Without Me,Halsey,1030270,2019-03-01--2019-03-08,gb,5p7ujcrUXASCNwRaWNHR1C
30,Walk Me Home,P!nk,1028929,2019-03-01--2019-03-08,gb,7DHApOHsIFo7EyfieArYGE
